	variables	precision	recall	f-score
0	['FirstCaps']	1.0	1.0	1.0
1	['FULLCAPS']	1.0	1.0	1.0
2	['FirstCaps', 'FULLCAPS']	0.9525406687138924	0.7970845197592458	0.8542348785322695
3	['FirstCaps', 'PrevToken']	0.4648673974250499	0.5998295474917117	0.5101469560992918
4	['FULLCAPS', 'PrevToken']	0.301408931958417	0.5227944707949805	0.34263863852383514
5	['FirstCaps', 'FULLCAPS', 'PrevToken']	0.4655962464417929	0.6010829230666873	0.511349066971663
6	['POS-Tag']	1.0	1.0	1.0
7	['POS-Tag', 'FirstCaps']	0.9602404073134748	0.7762097882349535	0.8383162526668698
8	['POS-Tag', 'FULLCAPS']	0.4997269900054602	0.47633055756698045	0.48774836355210566
9	['POS-Tag', 'FULLCAPS', 'FirstCaps']	0.9512796633464258	0.8109194567645527	0.8647673938599945
10	['POS-Tag', 'PrevToken']	0.289884559338258	0.5690982448809084	0.3322760023887572
11	['POS-Tag', 'FirstCaps', 'PrevToken']	0.4648248460741002	0.5989459505899587	0.5097991086695597
12	['POS-Tag', 'FULLCAPS', 'PrevToken']	0.3155727206758499	0.5374998204173821	0.3602848676817972
13	['POS-Tag', 'FULLCAPS', 'FirstCaps', 'PrevToken']	0.46558513237477145	0.6009202431239379	0.5112097283667384
14	['ChunkLabel']	0.6466705028042272	0.7092030010576562	0.5614930738912455
15	['FirstCaps', 'ChunkLabel']	0.5728212728102469	0.6510216568077809	0.5323612008523549
16	['FULLCAPS', 'ChunkLabel']	0.6842469669075162	0.6562844313216288	0.6368734779161785
17	['FirstCaps', 'FULLCAPS', 'ChunkLabel']	0.6008841180196447	0.6474405370349283	0.5866864952693644
18	['PrevToken', 'ChunkLabel']	0.46965606087889805	0.5526427593872482	0.4754487120948118
19	['FirstCaps', 'PrevToken', 'ChunkLabel']	0.5793903349843549	0.6072578914545891	0.5755318862718921
20	['FULLCAPS', 'PrevToken', 'ChunkLabel']	0.4601879092957477	0.5311326905360177	0.4682973221186893
21	['FirstCaps', 'FULLCAPS', 'PrevToken', 'ChunkLabel']	0.5695337692590793	0.5937995242534929	0.572692146003919
22	['POS-Tag', 'ChunkLabel']	0.6462117810963905	0.7073200509716194	0.5616086524372667
23	['POS-Tag', 'FirstCaps', 'ChunkLabel']	0.457596729264092	0.4866273539687593	0.4037147590499578
24	['POS-Tag', 'FULLCAPS', 'ChunkLabel']	0.5118851609552091	0.42461496798379017	0.44227657525229513
